"BehaviorSpace results (NetLogo 6.0.4)"
"Local SI.nlogo"
"experiment"
"08/14/2019 12:16:32:288 -0230"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","r","d","alpha","beta","[step]","pSS","pSI","pS0","pII","pI0","p00","time-events"
"1","4","1","0","4","0","0","0","0","0","0","0","0"
"1","4","1","0","4","1","0.9910783553141971","0.008921644685802949","0","0","0","0","1.942570825313021E-4"
"1","4","1","0","4","2","0.9906868451688009","0.00892510671323244","3.8804811796662784E-4","0","0","0","3.441527859036857E-4"
"1","4","1","0","4","3","0.9902969144187852","0.009120900446341937","3.8812342324859306E-4","1.9406171162429653E-4","0","0","9.713106431036968E-4"
"1","4","1","0","4","4","0.9899068322981367","0.009316770186335404","3.8819875776397513E-4","3.8819875776397513E-4","0","0","0.0015843581523046848"
"1","4","1","0","4","5","0.9895165987186954","0.009512715977480102","3.8827412152980003E-4","5.824111822947001E-4","0","0","0.0020945088558065868"
"1","4","1","0","4","6","0.9891241017673335","0.00951641095358322","7.768498737618955E-4","5.826374053214216E-4","0","0","0.0022510869660490626"
"1","4","1","0","4","7","0.9887312997862833","0.009520108801243442","0.0011657276083155237","5.828638041577618E-4","0","0","0.002689845670302359"
"1","4","1","0","4","8","0.9883381924198251","0.009523809523809525","0.001554907677356657","5.830903790087463E-4","0","0","0.0027554069271203863"
"1","4","1","0","4","9","0.9879447793116858","0.009527513124635427","0.0019443904335990666","5.8331713007972E-4","0","0","0.002779516645901576"
"1","4","1","0","4","10","0.9875510601050379","0.009531219607080334","0.002334176230305388","5.83544057576347E-4","0","0","0.002874287186175703"
"1","4","1","0","4","11","0.9871570344424986","0.00953492897450866","0.0027242654212881884","5.837711617046118E-4","0","0","0.0035430884937775594"
"1","4","1","0","4","12","0.9867627019661281","0.009538641230290053","0.003114658360911038","5.839984426708196E-4","0","0","0.003837227714335915"
"1","4","1","0","4","13","0.9863680623174295","0.009542356377799415","0.003505355404089581","5.842259006815969E-4","0","0","0.004588590357327791"
"1","4","1","0","4","14","0.9859731151373465","0.00954607442041691","0.0038963569062926166","5.844535359438924E-4","0","0","0.005072587696326225"
"1","4","1","0","4","15","0.9855778600662639","0.009549795361527967","0.004287663223543169","5.846813486649776E-4","0","0","0.0051963397923978786"
"1","4","1","0","4","16","0.9851851851851852","0.009746588693957114","0.0042884990253411305","7.797270955165692E-4","0","0","0.0053196353711593295"
"1","4","1","0","4","17","0.984789391575663","0.009750390015600624","0.0046801872074883","7.8003120124805E-4","0","0","0.005544523871867095"
"1","4","1","0","4","18","0.9843932891143191","0.009754194303550527","0.005072181037846274","7.803355442840422E-4","0","0","0.006353136336676786"
"1","4","1","0","4","19","0.9839968774395004","0.00975800156128025","0.00546448087431694","7.8064012490242E-4","0","0","0.0064458306373281005"
"1","4","1","0","4","20","0.9836001561889887","0.009761811792268645","0.005857087075361187","7.809449433814916E-4","0","0","0.006470387327380114"
"1","4","1","0","4","21","0.983203125","0.009765625","0.00625","7.8125E-4","0","0","0.007381505569183756"
"1","4","1","0","4","22","0.9828057835091832","0.009769441187964049","0.006643220007815553","7.815552950371239E-4","0","0","0.007559141524479433"
"1","4","1","0","4","23","0.9824081313526193","0.009773260359655981","0.007036747458952306","7.818608287724785E-4","0","0","0.008098509911983867"
"1","4","1","0","4","24","0.9820101681658193","0.009777082518576457","0.007430582714118107","7.821666014861165E-4","0","0","0.008415360881613494"
"1","4","1","0","4","25","0.9816118935837246","0.009780907668231613","0.00782472613458529","7.82472613458529E-4","0","0","0.008816099432997375"
"1","4","1","0","4","26","0.9812133072407045","0.009784735812133072","0.00821917808219178","7.827788649706458E-4","0","0","0.009223907191549493"
"1","4","1","0","4","27","0.980814408770556","0.009788566953797965","0.008613938919342208","7.830853563038371E-4","0","0","0.010219741670640731"
"1","4","1","0","4","28","0.9804151978065021","0.009792401096748922","0.009009009009009009","7.833920877399138E-4","0","0","0.010233746061049438"
"1","4","1","0","4","29","0.9800156739811913","0.009796238244514107","0.009404388714733543","7.836990595611285E-4","0","0","0.010255605543642396"
"1","4","1","0","4","30","0.9796198314716833","0.009994121105232217","0.00940623162845385","9.798157946306093E-4","0","0","0.010344862597136763"
"1","4","1","0","4","31","0.9792197608312095","0.009998039600078416","0.009801999607920015","9.801999607920015E-4","0","0","0.010703042350514233"
"1","4","1","0","4","32","0.9788193763483036","0.010001961168856639","0.010198078054520495","9.805844283192783E-4","0","0","0.011070968081079326"
"1","4","1","0","4","33","0.9784186776535216","0.010005885815185403","0.01059446733372572","9.809691975671965E-4","0","0","0.011265181308718628"
"1","4","1","0","4","34","0.97801766437684","0.01000981354268891","0.01099116781157998","9.813542688910696E-4","0","0","0.011557548716319492"
"1","4","1","0","4","35","0.9776163361476536","0.010013744354997054","0.011388179854702533","9.817396426467701E-4","0","0","0.011991401523607788"
"1","4","1","0","4","36","0.9772146925947751","0.010017678255745434","0.011785503830288745","9.821253191907287E-4","0","0","0.012006423832644263"
"1","4","1","0","4","37","0.9768127333464335","0.01002161524857536","0.01218314010611122","9.825112988799372E-4","0","0","0.01228152277902508"
"1","4","1","0","4","38","0.9772146925947751","0.010017678255745434","0.011785503830288745","9.821253191907287E-4","0","0","0.013027032660716446"
"1","4","1","0","4","39","0.9769177880365386","0.010116884392495825","0.011688439249582556","0.0011786661428150476","9.822217856792063E-5","0","0.013123144125439168"
"1","4","1","0","4","40","0.9765156725950673","0.0101208607644689","0.012086076446890047","0.0011791294094526874","9.826078412105728E-5","0","0.013675832481266931"
"1","4","1","0","4","41","0.9761179361179361","0.010319410319410319","0.012088452088452089","0.0013759213759213758","9.828009828009828E-5","0","0.013861433827035089"
"1","4","1","0","4","42","0.9765202868651145","0.01031535514294135","0.011690735828666863","0.0013753806857255133","9.824147755182238E-5","0","0.014001820839803916"
"1","4","1","0","4","43","0.9761179361179361","0.010319410319410319","0.012088452088452089","0.0013759213759213758","9.828009828009828E-5","0","0.014089039131355379"
"1","4","1","0","4","44","0.9757152689017796","0.01032346868547832","0.012486481171959492","0.0013764624913971094","9.831874938550782E-5","0","0.014254307660665294"
"1","4","1","0","4","45","0.9753171403284492","0.01052217523846986","0.012488936965286655","0.001573409381453437","9.833808634083981E-5","0","0.014437030433783657"
"1","4","1","0","4","46","0.9757200432517448","0.010518037943576133","0.012090828664110882","0.0015727907205347487","9.82994200334218E-5","0","0.014497127290259575"
"1","4","1","0","4","47","0.9753171403284492","0.01052217523846986","0.012488936965286655","0.001573409381453437","9.833808634083981E-5","0","0.014536863373822014"
"1","4","1","0","4","48","0.9749139203148057","0.010526315789473684","0.012887358583374324","0.001574028529267093","9.837678307919331E-5","0","0.015100572768028031"
"1","4","1","0","4","49","0.974510382836335","0.010530459600433029","0.013286093888396812","0.0015746481645507332","9.841551028442082E-5","0","0.01532144459406224"
"1","4","1","0","4","50","0.9749139203148057","0.010526315789473684","0.012887358583374324","0.001574028529267093","9.837678307919331E-5","0","0.015538880004144101"
"1","4","1","0","4","51","0.974510382836335","0.010530459600433029","0.013286093888396812","0.0015746481645507332","9.841551028442082E-5","0","0.015805901859149176"
"1","4","1","0","4","52","0.9741065275179679","0.01053460667519937","0.013685143250959928","0.0015752682878802796","9.845426799251748E-5","0","0.015921973795329624"
"1","4","1","0","4","53","0.9737023539840441","0.010538757017630258","0.014084507042253521","0.0015758888998325619","9.849305623953512E-5","0","0.016454062649774507"
"1","4","1","0","4","54","0.9732978618583111","0.01054291063158932","0.014484185634052616","0.0015765100009853187","9.853187506158242E-5","0","0.016629118249166817"
"1","4","1","0","4","55","0.972898393613876","0.010544988666600965","0.014684143096481719","0.0015768207351926679","9.855129594954174E-5","1.9710259189908348E-4","0.016746814035511974"
"1","4","1","0","4","56","0.9724933451641526","0.010549147195109928","0.015084294587400177","0.001577442571231391","9.859016070196194E-5","1.9718032140392388E-4","0.01698248959127511"
"1","4","1","0","4","57","0.972898393613876","0.010544988666600965","0.014684143096481719","0.0015768207351926679","9.855129594954174E-5","1.9710259189908348E-4","0.017532858545048716"
"1","4","1","0","4","58","0.9724933451641526","0.010549147195109928","0.015084294587400177","0.001577442571231391","9.859016070196194E-5","1.9718032140392388E-4","0.017806370790710565"
"1","4","1","0","4","59","0.9728930507639231","0.01054706752094628","0.01488417939871858","0.0015771315919172006","9.857072449482504E-5","0","0.01828561925544161"
"1","4","1","0","4","60","0.9724879203234394","0.010551227689576965","0.015284488709200275","0.0015777536732077704","9.860960457548565E-5","0","0.01841244227305907"
"1","4","1","0","4","61","0.9720824701588241","0.010555391141363323","0.015685113939035218","0.001578376245437506","9.864851533984413E-5","0","0.018422630813678977"
"1","4","1","0","4","62","0.9716766998914438","0.010559557880193427","0.016086055462350736","0.0015789993091878023","9.868745682423764E-5","0","0.018565505447545087"
"1","4","1","0","4","63","0.9712762807225348","0.010561642483466588","0.016286644951140065","0.0015793110255650973","9.870693909781858E-5","1.9741387819563716E-4","0.01888533195378419"
"1","4","1","0","4","64","0.9709715639810427","0.01046603475513428","0.016587677725118485","0.001579778830963665","1.9747235387045813E-4","1.9747235387045813E-4","0.018914873315679235"
"1","4","1","0","4","65","0.9705649940734887","0.010470169893322797","0.01698933227973133","0.0015804030027657052","1.9755037534571315E-4","1.9755037534571315E-4","0.018926245795669053"
"1","4","1","0","4","66","0.9701581027667984","0.010474308300395257","0.017391304347826087","0.0015810276679841897","1.976284584980237E-4","1.976284584980237E-4","0.019604823997915164"
"1","4","1","0","4","67","0.9697508896797153","0.01047844998022934","0.017793594306049824","0.0015816528272044287","1.9770660340055358E-4","1.9770660340055358E-4","0.019863397805633103"
"1","4","1","0","4","68","0.9693433544303798","0.010482594936708861","0.01819620253164557","0.0015822784810126582","1.9778481012658228E-4","1.9778481012658228E-4","0.020118304264589625"
"1","4","1","0","4","69","0.9697508896797153","0.01047844998022934","0.017793594306049824","0.0015816528272044287","1.9770660340055358E-4","1.9770660340055358E-4","0.020139721244015935"
"1","4","1","0","4","70","0.9693433544303798","0.010482594936708861","0.01819620253164557","0.0015822784810126582","1.9778481012658228E-4","1.9778481012658228E-4","0.020456369109010074"
"1","4","1","0","4","71","0.9689416419386746","0.010484668644906034","0.018397626112759646","0.001582591493570722","1.9782393669634025E-4","3.956478733926805E-4","0.020975716426354943"
"1","4","1","0","4","72","0.968533544429052","0.010488818523649317","0.018800712448050663","0.001583217890362161","1.9790223629527012E-4","3.9580447259054025E-4","0.02099134088573102"
"1","4","1","0","4","73","0.9681314330958036","0.010688836104513063","0.01880443388756928","0.0017814726840855108","1.979414093428345E-4","3.95882818685669E-4","0.021375594227352343"
"1","4","1","0","4","74","0.9677227722772277","0.010693069306930694","0.019207920792079208","0.0017821782178217822","1.9801980198019803E-4","3.9603960396039607E-4","0.021725203553385367"
"1","4","1","0","4","75","0.9681314330958036","0.010688836104513063","0.01880443388756928","0.0017814726840855108","1.979414093428345E-4","3.95882818685669E-4","0.0219101865693901"
"1","4","1","0","4","76","0.9677291625420709","0.010888932884577311","0.018808156800633538","0.0019798059790140567","1.9798059790140566E-4","3.959611958028113E-4","0.022357335807640228"
"1","4","1","0","4","77","0.9681377399564615","0.010884622996239858","0.018404907975460124","0.0019790223629527013","1.9790223629527012E-4","3.9580447259054025E-4","0.022938745814961196"
"1","4","1","0","4","78","0.9677291625420709","0.010888932884577311","0.018808156800633538","0.0019798059790140567","1.9798059790140566E-4","3.959611958028113E-4","0.02311316369449973"
"1","4","1","0","4","79","0.9673202614379085","0.010893246187363835","0.019211725094078036","0.0019805902158843334","1.9805902158843335E-4","3.961180431768667E-4","0.023222421523571294"
"1","4","1","0","4","80","0.9669110362591639","0.01089756290865861","0.019615613235585496","0.0019813750743015654","1.9813750743015652E-4","3.9627501486031304E-4","0.023280652369986585"
"1","4","1","0","4","81","0.9665014866204162","0.010901883052527254","0.02001982160555005","0.0019821605550049554","1.9821605550049553E-4","3.9643211100099106E-4","0.02333853867996795"
"1","4","1","0","4","82","0.9660916121356335","0.01090620662304184","0.020424350584969265","0.00198294665873488","1.98294665873488E-4","3.96589331746976E-4","0.024174680204826122"
